ID,site,context,municipality,county,country,country_code,paroisse,canton,comte,commune,lat,lng
FR-28,Kernonen,NA,Plouvorn,Finistère,France,FR,NA,NA,NA,NA,48.57875,-4.03746
FR-29,Keruzoret,NA,Plouvorn,Finistère,France,FR,NA,NA,NA,NA,48.57875,-4.03746
FR-30,Lambader (?),NA,Plouvorn,Finistère,France,FR,NA,NA,NA,NA,48.57875,-4.03746
FR-31,Kerguévarec,NA,Plouyé,Finistère,France,FR,NA,NA,NA,NA,48.31477,-3.73652
FR-32,Barnenez,Chambre D,Plouezoc’h,Finistère,France,FR,NA,NA,NA,NA,48.66771,-3.8581
FR-33,Kerlivit 2,NA,Pouldergat,Finistère,France,FR,NA,NA,NA,NA,48.04307,-4.32737
FR-34,Kermenhir,NA,Poullan-sur-Mer,Finistère,France,FR,NA,NA,NA,NA,48.08064,-4.41412
FR-35,Kervini Nord,NA,Poullan-sur-Mer,Finistère,France,FR,NA,NA,NA,NA,48.08064,-4.41412
FR-36,Kervini Sud,NA,Poullan-sur-Mer,Finistère,France,FR,NA,NA,NA,NA,48.08064,-4.41412
FR-37,Lothéa,NA,Quimperlé,Finistère,France,FR,NA,NA,NA,NA,47.87215,-3.54994
FR-38,Limbabu / Creac'h-Morvan,NA,Saint-Thégonnec,Finistère,France,FR,NA,NA,NA,NA,48.52039,-3.94611
FR-39,Graeoc 2 / Liorzou 2,NA,Saint-Vougay,Finistère,France,FR,NA,NA,NA,NA,48.59472,-4.13797
FR-40,Le Run,NA,Tréffiagat,Finistère,France,FR,NA,NA,NA,NA,47.80351,-4.26354
FR-41,La Pierre-Couvretière,NA,Ancenis,Loire-Atlantique,France,FR,NA,NA,NA,NA,47.36667,-1.16667
FR-42,La Couronne-Blanche,NA,Petit-Auverné,Loire-Atlantique,France,FR,NA,NA,NA,NA,47.61034,-1.29033
FR-43,Tumulus de la Motte,NA,Pornic,Loire-Atlantique,France,FR,NA,NA,NA,NA,47.11205,-2.08888
FR-44,Fosse-Yvon,NA,Beaumont-Hague,Manche,France,FR,NA,NA,NA,NA,49.66387,-1.83822
FR-45,Petit-Mont,Tombe IIIa,Arzon,Morbihan,France,FR,NA,NA,NA,NA,47.54852,-2.88989
FR-46,Sans provenance,NA,Erdeven,Morbihan,France,FR,NA,NA,NA,NA,47.6421,-3.15706
FR-47,Coët-a-Tous / Mané-Gragueux,NA,Carnac,Morbihan,France,FR,NA,NA,NA,NA,47.58351,-3.07884
FR-48,Kercado,NA,Carnac,Morbihan,France,FR,NA,NA,NA,NA,47.58351,-3.07884
FR-49,Kerlagat,Second dolmen,Carnac,Morbihan,France,FR,NA,NA,NA,NA,47.58351,-3.07884
FR-50,Kerlescan,NA,Carnac,Morbihan,France,FR,NA,NA,NA,NA,47.58351,-3.07884
FR-51,La Rogarte,NA,Carnac,Morbihan,France,FR,NA,NA,NA,NA,47.58351,-3.07884
FR-52,Mané-Roh-en-Tallec,NA,Carnac,Morbihan,France,FR,NA,NA,NA,NA,47.58351,-3.07884
FR-53,Er-Mar,NA,Crac’h,Morbihan,France,FR,NA,NA,NA,NA,47.61659,-3.00069
FR-54,Luffang,NA,Crac’h,Morbihan,France,FR,NA,NA,NA,NA,48.61659,-2.00069
FR-55,Coët-er-Garf,NA,Elven,Morbihan,France,FR,NA,NA,NA,NA,47.7323,-2.58956
FR-56,Goërem,NA,Gâvres,Morbihan,France,FR,NA,NA,NA,NA,47.69404,-3.35249
FR-57,Parc-Menhir / Kermario,NA,Groix,Morbihan,France,FR,NA,NA,NA,NA,47.63887,-3.4543
FR-58,Cruguel,NA,Guidel,Morbihan,France,FR,NA,NA,NA,NA,47.78889,-3.48667
FR-59,Er-Roh / Kermarker,NA,La Trinité-sur-Mer,Morbihan,France,FR,NA,NA,NA,NA,47.5868,-3.02994
FR-60,Kervilor,NA,La Trinité-sur-Mer,Morbihan,France,FR,NA,NA,NA,NA,47.5868,-3.02994
FR-61,Mané-Roullarde,NA,La Trinité-sur-Mer,Morbihan,France,FR,NA,NA,NA,NA,47.5868,-3.02994
FR-62,Kercadoret,NA,Locmariaquer,Morbihan,France,FR,NA,NA,NA,NA,47.56915,-2.94468
FR-63,La Table-des-Marchands,NA,Locmariaquer,Morbihan,France,FR,NA,NA,NA,NA,47.56915,-2.94468
FR-64,Saint-Fiacre,NA,Melrand,Morbihan,France,FR,NA,NA,NA,NA,47.98002,-3.10941
FR-65,Beg-er-Lann/Fort-Bloqué,NA,Ploemeur,Morbihan,France,FR,NA,NA,NA,NA,47.73333,-3.43333
FR-66,Port-Fétih/Runélen,NA,Ploemeur,Morbihan,France,FR,NA,NA,NA,NA,47.73333,-3.43333
FR-67,Saint-Adrien,NA,Ploemeur,Morbihan,France,FR,NA,NA,NA,NA,47.73333,-3.43333
FR-68,Tuchenn-er-Hroëk,NA,Ploemeur,Morbihan,France,FR,NA,NA,NA,NA,47.73333,-3.43333
FR-69,Rondossec,NA,Plouharnel,Morbihan,France,FR,NA,NA,NA,NA,47.59804,-3.11274
FR-70,Mané-Bras,NA,Plouhinec,Morbihan,France,FR,NA,NA,NA,NA,47.69752,-3.25127
FR-71,Mané-Meur,Second dolmen,Quiberon,Morbihan,France,FR,NA,NA,NA,NA,47.48412,-3.11963
FR-72,Le Net / Clos-er-Bé,NA,Saint-Gildas-de-Rhuys,Morbihan,France,FR,NA,NA,NA,NA,47.5006,-2.83825
FR-73,Mané-Han / Le Petit-Kerambel,NA,Saint-Philibert,Morbihan,France,FR,NA,NA,NA,NA,47.58821,-2.99978
FR-74,Brehuidic,NA,Sarzeau-Brillac,Morbihan,France,FR,NA,NA,NA,NA,47.54091,-2.81667
FR-75,Loucé,NA,Loucé,Orne,France,FR,NA,NA,NA,NA,48.70273,-0.10175
FR-76,La Pierre-Levée,NA,Nieul-sur-l'Autise,Vendée,France,FR,NA,NA,NA,NA,46.42322,-0.67944
FR-77,Le Grand-Bouillac,NA,Saint-Vincent-sur-Jard,Vendée,France,FR,NA,NA,NA,NA,46.41699,-1.55862
DK-01,Stenilgård,Års,NA,NA,Denmark,DK,Aars,Aars,Aalborg,Vesthimmerland,56.80399,9.51441
DK-02,Smørup,NA,NA,NA,Denmark,DK,Brorstrup,Aars,Aalborg,Rebild,56.76396,9.64907
DK-03,Halsmandbro II,NA,NA,NA,Denmark,DK,Ejdrup,Aars,Aalborg,Aalborg,56.89077,9.53918
DK-04,Lynnerup II,NA,NA,NA,Denmark,DK,Skivum,Aars,Aalborg,Vesthimmerland,56.86606,9.59004
DK-05,Blære,Couche 6,NA,NA,Denmark,DK,Blære,Aars,Aalborg,Vesthimmerland,56.8641,9.51593
DK-06,Fandrup,NA,NA,NA,Denmark,DK,Farsø,Gislum,Aalborg,Vesthimmerland,56.77276,9.33925
DK-07,Fredbjerg,NA,NA,NA,Denmark,DK,Farsø,Gislum,Aalborg,Vesthimmerland,56.77276,9.33925
DK-08,Foulum,NA,NA,NA,Denmark,DK,Foulum,Gislum,Aalborg,Vesthimmerland,56.496575,9.58391
DK-09,Rold Mark,NA,NA,NA,Denmark,DK,Rold,Hindsted,Aalborg,Mariagerfjord,56.76668,9.8232
DK-10,Lundgård,NA,NA,NA,Denmark,DK,Rostrup,Hindsted,Aalborg,Mariagerfjord,56.72926,9.92882
DK-11,Store Arden,NA,NA,NA,Denmark,DK,Store Arden,Hindsted,Aalborg,Mariagerfjord,56.76115,9.88296
DK-12,Ulstrup,NA,NA,NA,Denmark,DK,Valsgård,Hindsted,Aalborg,Mariagerfjord,56.67285,9.84885
DK-13,Hvarre 1,NA,NA,NA,Denmark,DK,Vebbestrup,Hindsted,Aalborg,Mariagerfjord,56.72562,9.82424
DK-14,Hvarre 2,NA,NA,NA,Denmark,DK,Vebbestrup,Hindsted,Aalborg,Mariagerfjord,56.72562,9.82424
DK-15,Åle,Tumulus 1,NA,NA,Denmark,DK,Ranum,Slet,Aalborg,Mariagerfjord,56.896423,9.227089
DK-16,Damgården IV,NA,NA,NA,Denmark,DK,Søften,Vester-Lisbjerg,Århus,Favrskov,56.23801,10.0851
DK-17,Dyrehavegård,NA,NA,NA,Denmark,DK,Lyngby-Tårbæk,Sokkelund,København,Lyngby-Tårbæk,55.78456,12.50508
DK-18,Nustrup,NA,NA,NA,Denmark,DK,Nustrup,Gram,Haderslev,Haderslev,55.28356,9.21069
